ra,dec,z_spec,z_err,obj_class,survey,reference
242.34603882,54.1019592,0.233397,1.6e-05,,MMT/Hectospec,Cheng+2021
242.01590538,54.2284698,0.337039,1.6e-05,,MMT/Hectospec,Cheng+2021
243.01746368,54.2627983,0.726643,1.6e-05,,MMT/Hectospec,Cheng+2021
242.18942642,54.0694313,0.430179,1.6e-05,,MMT/Hectospec,Cheng+2021
242.9811573,54.1295242,0.341642,1.6e-05,,MMT/Hectospec,Cheng+2021
242.43021011,54.9043922,0.334774,1.6e-05,,MMT/Hectospec,Cheng+2021
243.10089111,54.6396866,0.234878,1.6e-05,,MMT/Hectospec,Cheng+2021
242.97875404,54.5198174,0.449835,1.6e-05,,MMT/Hectospec,Cheng+2021
242.25557327,54.2562485,0.265732,1.6e-05,,MMT/Hectospec,Cheng+2021
242.54084587,54.417778,0.064297,1.6e-05,,MMT/Hectospec,Cheng+2021
242.73994446,53.9906273,0.264003,1.6e-05,,MMT/Hectospec,Cheng+2021
243.09937477,54.7040405,0.219901,1.6e-05,,MMT/Hectospec,Cheng+2021
241.77223206,54.2990494,0.264275,1.6e-05,,MMT/Hectospec,Cheng+2021
242.44866371,54.9212341,0.120366,1.6e-05,,MMT/Hectospec,Cheng+2021
242.98404694,54.4415474,0.23387,1.7e-05,,MMT/Hectospec,Cheng+2021
243.23698997,54.4872131,0.288994,1.7e-05,,MMT/Hectospec,Cheng+2021
242.61488914,54.2729645,0.268596,1.7e-05,,MMT/Hectospec,Cheng+2021
242.2150898,54.7640915,0.330343,1.7e-05,,MMT/Hectospec,Cheng+2021
243.05251122,54.828804,0.327745,1.7e-05,,MMT/Hectospec,Cheng+2021
243.24980736,54.4431915,0.326866,1.7e-05,,MMT/Hectospec,Cheng+2021
242.73802757,54.358448,0.227613,1.7e-05,,MMT/Hectospec,Cheng+2021
243.05508614,54.1999168,0.338529,1.7e-05,,MMT/Hectospec,Cheng+2021
242.91970253,53.9914055,0.230918,1.7e-05,,MMT/Hectospec,Cheng+2021
242.60436058,54.1671524,0.35745,1.7e-05,,MMT/Hectospec,Cheng+2021
242.39830971,53.9600143,0.062958,1.7e-05,,MMT/Hectospec,Cheng+2021
241.74965858,54.3893776,0.373276,1.7e-05,,MMT/Hectospec,Cheng+2021
243.07542801,54.1795731,0.048992,1.7e-05,,MMT/Hectospec,Cheng+2021
243.1218338,54.4707832,0.269016,1.7e-05,,MMT/Hectospec,Cheng+2021
242.55134583,54.1918831,0.267689,1.7e-05,,MMT/Hectospec,Cheng+2021
242.18270302,54.0419273,0.241279,1.7e-05,,MMT/Hectospec,Cheng+2021
243.01463127,54.8331184,0.066126,1.7e-05,,MMT/Hectospec,Cheng+2021
243.27218056,54.5921898,0.210057,1.7e-05,,MMT/Hectospec,Cheng+2021
242.27291107,54.1222038,0.210645,1.7e-05,,MMT/Hectospec,Cheng+2021
241.9384861,54.5264702,0.344721,1.7e-05,,MMT/Hectospec,Cheng+2021
242.78082848,54.8440399,0.118412,1.7e-05,,MMT/Hectospec,Cheng+2021
242.44182587,54.9030228,0.335848,1.7e-05,,MMT/Hectospec,Cheng+2021
